"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*06mjz*","Donovan Clingan","POR","C,Flx","180","Superswa","@LAC Sun 8:00PM","75.76","100","91.1","98%","+97.8%","22","26.2","3.4","6.5",".514","1.2","2.4",".509","0.3","9.9","2.0","0.6","1.8","0.8","8.3"
"*05qt1*","Payton Pritchard","BOS","PG,G,Flx","65","herb","@DET Sun 2:30PM","75.45","100","70.5","99%","+99.3%","22","29.5","5.5","11.5",".476","0.9","1.0",".864","3.0","3.9","3.5","0.9","0.1","1.2","14.9"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F,Flx","113","FA","BKN Sun 1:00PM","75.43","63","223.8","45%","+44.6%","23","24.8","5.4","11.0",".492","1.9","2.4",".786","1.2","5.7","2.0","0.7","0.5","1.2","14.0"
"*051pa*","Kevin Porter","MIL","PG,SG,G,Flx","155","Superswa","@CLE Sun 5:00PM","75.4","100","106.5","93%","+93.3%","23","21.3","4.3","8.7",".495","3.1","3.5",".877","1.2","4.4","4.2","1.2","0.1","1.7","12.9"
"*03e74*","Spencer Dinwiddie","(N/A)","PG,G,Flx","104","FA","","75.21","10","287.2","15%","+15.2%","21","32.3","4.6","10.8",".425","3.0","4.1",".744","1.4","3.4","6.4","1.0","0.2","1.7","13.6"
"*0527h*","Naz Reid","MIN","PF,F,C,Flx","20","herb","IND Sun 6:00PM","75.11","100","86","98%","+98.3%","21","27.9","5.1","11.8",".433","0.7","1.1",".583","2.1","6.1","2.8","0.8","0.8","1.6","13.0"
"*0623m*","Keon Ellis","SAC","PG,SG,G,Flx","82","FA","LAL Sun 8:00PM","75.09","77","202.2","60%","+60%","24","28.9","3.1","6.3",".493","1.0","1.1",".852","1.7","3.0","2.1","1.8","0.8","1.0","8.9"
"*042n4*","Jamal Murray","DEN","PG,SG,G,Flx","30","booty","","75.04","100","36.4","99%","+99%","15","36.4","8.0","17.0",".471","4.3","4.6",".928","2.3","4.3","5.9","1.1","0.3","1.5","22.5"
"*03ams*","Zach LaVine","SAC","SG,G,SF,F,Flx","62","Universa","LAL Sun 8:00PM","74.87","100","55.9","98%","+98.4%","23","36.7","8.2","15.7",".519","2.5","3.0",".853","3.3","3.4","3.6","0.5","0.0","2.7","22.2"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","126","Universa","","74.74","100","90.7","98%","+97.8%","19","27.0","5.2","8.4",".616","1.3","1.8",".735","0.0","9.3","3.7","1.0","1.1","1.5","11.6"
"*05uje*","Jared Butler","(N/A)","PG,SG,G,Flx","246","FA","","74.1","4","292","11%","+10.7%","23","26.6","4.5","10.5",".430","1.5","1.7",".872","1.8","2.5","5.2","1.2","0.3","1.9","12.3"
"*06mk6*","Carlton Carrington","WAS","PG,G,Flx","122","Slovenia","CHA Sun 5:00PM","73.87","100","129.2","86%","+86.2%","24","31.7","4.4","11.4",".387","1.0","1.3",".781","1.9","4.6","5.7","0.5","0.5","2.1","11.8"
"*0621b*","Jalen Williams","OKC","SG,G,SF,PF,F,Flx","10","BOT","","73.43","100","27.8","100%","+99.9%","14","31.0","8.6","16.7",".513","4.7","5.7",".825","2.1","4.8","5.1","1.2","0.4","1.9","23.9"
"*051ok*","DeAndre Hunter","CLE","SF,PF,F,Flx","112","SMAC777","MIL Sun 5:00PM","73.15","100","140","80%","+79.7%","21","25.2","5.0","10.3",".481","2.4","3.0",".823","2.0","4.4","1.4","0.8","0.3","0.9","14.4"
"*0621e*","Mark Williams","PHO","C,Flx","165","Benny","","73.08","100","77.8","98%","+98.4%","17","28.8","6.4","9.6",".663","2.3","2.8",".830","0.0","10.8","2.8","0.9","1.4","2.4","15.0"
"*042nf*","Caris LeVert","DET","SG,G,SF,F,Flx","120","FA","BOS Sun 2:30PM","73.06","90","181.1","60%","+59.6%","19","26.2","5.7","11.8",".487","1.9","2.6",".720","1.8","3.4","3.2","1.0","0.6","1.1","15.2"
