"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*027oz*","Kawhi Leonard","LAC","SF,PF,F,Flx","76","BOT","POR Sun 8:00PM","60.4","100","48","98%","+98.2%","2","30.9","7.0","15.0",".467","3.5","4.0",".875","1.0","4.5","3.5","1.0","1.0","2.0","18.5"
"*06mjx*","Ron Holland","DET","SF,PF,F,Flx","77","Benny","BOS Sun 2:30PM","60.27","24","273.3","57%","+57.3%","2","19.8","4.5","8.5",".529","4.5","5.0",".900","1.5","4.5","3.0","2.0","0.5","2.0","15.0"
"*06cby*","Keyonte George","UTA","PG,G,Flx","78","WIN","","60.26","100","119.8","93%","+93.3%","2","31.8","5.5","13.5",".407","5.0","5.5",".909","1.0","2.0","9.5","1.0","0.5","3.5","17.0"
"*05uiu*","Jalen Johnson","ATL","SF,PF,F,Flx","79","booty","","59.84","100","27.1","100%","+99.9%","2","30.4","6.0","11.5",".522","5.0","6.0",".833","0.0","7.5","4.5","1.0","0.5","3.0","17.0"
"*06mjw*","Stephon Castle","SA","PG,SG,G,Flx","80","herb","BKN 11<br/>@SA 5","59.3","100","104.5","98%","+98.4%","3","22.0","4.7","8.7",".538","2.7","5.3",".500","1.3","4.3","4.0","1.0","0.3","5.7","13.3"
"*05uj4*","Santi Aldama","MEM","PF,F,C,Flx","81","GAS","","59.12","100","119.2","92%","+92.1%","3","21.6","4.0","8.3",".480","0.3","1.3",".250","0.7","7.3","1.0","0.7","1.3","1.0","9.0"
"*06mkk*","Ryan Dunn","PHO","SF,PF,F,Flx","82","Slovenia","","59.06","57","231.6","56%","+56.5%","3","21.6","3.7","7.3",".500","0.0","0.7",".000","0.7","7.3","1.7","0.3","1.7","0.3","8.0"
"*04ewm*","Jarrett Allen","CLE","C,Flx","83","GAS","MIL Sun 5:00PM","58.72","100","58.7","100%","+99.7%","2","29.3","4.5","7.5",".600","4.0","6.5",".615","0.0","5.5","2.5","2.0","0.5","1.5","13.0"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F,Flx","84","SMAC777","@DET Sun 2:30PM","58.32","100","31.5","99%","+98.6%","2","35.9","9.0","18.0",".500","3.5","5.0",".700","2.5","5.0","3.5","0.5","0.0","4.5","24.0"
"*04jwd*","Royce ONeale","PHO","SF,PF,F,Flx","85","FA","","58.02","28","268.6","28%","+27.7%","3","28.5","3.3","8.3",".400","0.7","1.3",".500","2.7","4.3","1.7","1.0","0.3","1.3","10.0"
"*04qrw*","Kevin Huerter","CHI","SG,G,Flx","86","FA","","57.9","36","259.8","34%","+33.5%","2","28.3","4.0","10.5",".381","4.0","4.5",".889","1.0","6.0","3.0","1.0","1.0","0.5","13.0"
"*04qse*","Gary Trent","MIL","SG,G,SF,F,Flx","87","Slovenia","@CLE Sun 5:00PM","57.8","72","212.3","59%","+58.8%","2","26.9","6.5","13.5",".481","1.0","2.0",".500","4.5","3.0","3.0","1.0","0.0","1.0","18.5"
"*05qub*","Isaiah Stewart","DET","C,Flx","88","FA","BOS Sun 2:30PM","57.37","13","283.4","54%","+54.4%","2","21.1","4.5","9.0",".500","1.5","3.0",".500","1.5","7.0","1.0","0.0","3.0","0.5","12.0"
"*0621q*","Nikola Jovic","MIA","PF,F,Flx","89","FA","NY Sun 5:00PM","57.36","94","173.6","64%","+64.2%","2","25.0","4.0","7.5",".533","4.0","4.5",".889","2.5","4.5","2.0","1.0","0.5","2.0","14.5"
"*05qtl*","Cole Anthony","MIL","PG,G,Flx","90","FA","@CLE Sun 5:00PM","56.42","63","226.6","49%","+49%","2","19.3","6.5","9.5",".684","1.5","3.5",".429","1.5","3.0","6.0","1.0","0.5","1.0","16.0"
"*02ng3*","Khris Middleton","WAS","SF,F,Flx","91","Superswa","CHA Sun 5:00PM","56.3","95","178.8","73%","+73.3%","2","29.2","6.5","13.5",".481","1.0","2.5",".400","2.0","5.0","2.5","1.5","0.0","1.0","16.0"
"*06ccf*","Ausar Thompson","DET","SF,PF,F,Flx","92","booty","BOS Sun 2:30PM","56.21","100","78.5","99%","+99.1%","2","28.7","7.0","12.0",".583","0.5","2.5",".200","0.5","5.5","5.5","1.0","1.0","1.0","15.0"
"*06mjz*","Donovan Clingan","POR","C,Flx","93","Superswa","@LAC Sun 8:00PM","55.96","100","91.1","98%","+97.8%","2","25.8","3.5","5.5",".636","2.5","2.5","1.000","1.5","7.0","1.5","1.0","1.0","0.5","11.0"
"*05qsx*","Obi Toppin","IND","PF,F,C,Flx","94","Universa","@MIN Sun 6:00PM","55.82","93","171.5","74%","+74.2%","2","32.8","6.5","15.0",".433","2.5","2.5","1.000","1.0","7.0","2.5","1.0","0.0","2.0","16.5"
